perturbation,level,acc,f1
clean,0.0,0.8998500749625188,0.8342122409242281
noise,0.05,0.8989505247376312,0.8341818634994044
noise,0.1,0.8947526236881559,0.8305997352407053
noise,0.2,0.8632683658170914,0.7729017323728496
wander,0.1,0.8986506746626687,0.8351336614721075
wander,0.3,0.8967016491754123,0.831042199037861
dropout,0.1,0.883208395802099,0.8080444821470721
dropout,0.5,0.6937031484257871,0.603665365963563
