Method,Artifact,Tgt_Clean_Ablation,Tgt_Pois_SAST,Tgt_Notch_Aug,Ablation_Gap,Notch_Improvement
ERM,60HZ,0.038276069921639545,0.038276069921639545,0.038276069921639545,0.0,0.0
DANN,60HZ,0.010659844366272252,0.010659844366272252,0.010659844366272252,0.0,0.0
